year,home,stadium,y,absorp,capa
2012,アビスパ福岡,レベルファイブスタジアム,5586.142857142857,24.758095238095237,22563.0
2012,アルビレックス新潟,デンカビッグスワンスタジアム,25018.176470588234,59.14411764705884,42300.0
2012,カターレ富山,富山県総合運動公園陸上競技場,3324.1428571428573,13.164761904761903,25250.0
2012,ガイナーレ鳥取,とりぎんバードスタジアム,3132.6666666666665,19.54047619047619,16033.0
2012,ガンバ大阪,万博記念競技場,14778.35294117647,70.37352941176471,21000.0
2012,ギラヴァンツ北九州,北九州市立本城陸上競技場,3346.3809523809523,32.80238095238095,10202.0
2012,コンサドーレ札幌,札幌ドーム,14884.3,37.940000000000005,39232.0
2012,コンサドーレ札幌,札幌厚別公園競技場,7899.714285714285,40.26428571428572,19620.0
2012,サガン鳥栖,ベストアメニティスタジアム,12743.285714285714,52.035000000000004,24490.0
2012,サガン鳥栖,佐賀県総合運動場陸上競技場,8479.333333333334,49.876666666666665,17000.0
2012,サンフレッチェ広島,エディオンスタジアム広島,17720.529411764706,35.44294117647059,50000.0
2012,ザスパ草津,正田醤油スタジアム群馬,3423.315789473684,22.61789473684211,15135.0
2012,ザスパ草津,熊谷スポーツ文化公園陸上競技場,2558.0,16.61,15400.0
2012,ジェフユナイテッド千葉,フクダ電子アリーナ,9280.619047619048,50.16523809523809,18500.0
2012,ジュビロ磐田,エコパスタジアム,25469.0,50.05,50889.0
2012,ジュビロ磐田,ヤマハスタジアム（磐田）,11475.533333333333,75.67066666666666,15165.0
2012,セレッソ大阪,キンチョウスタジアム,11893.545454545454,60.594545454545454,19628.0
2012,セレッソ大阪,ヤンマースタジアム長居,26115.833333333332,54.616666666666674,47816.0
2012,ファジアーノ岡山,シティライトスタジアム,8187.25,40.93599999999999,20000.0
2012,ファジアーノ岡山,岡山県津山陸上競技場,3946.0,39.46,10000.0
2012,ベガルタ仙台,ユアテックスタジアム仙台,16600.0,84.28882352941176,19694.0
2012,モンテディオ山形,ＮＤソフトスタジアム山形,7355.190476190476,34.544285714285714,21292.0
2012,ロアッソ熊本,うまかな・よかなスタジアム,5942.722222222223,18.571666666666665,32000.0
2012,ロアッソ熊本,熊本市水前寺競技場,5329.0,35.526666666666664,15000.0
2012,ヴァンフォーレ甲府,山梨中銀スタジアム,10406.619047619048,61.2157142857143,17000.0
2012,ヴィッセル神戸,ノエビアスタジアム神戸,14735.125,48.903125,30132.0
2012,ヴィッセル神戸,神戸総合運動公園ユニバー記念競技場,13091.0,29.09,45000.0
2012,京都サンガF.C.,京都市西京極総合運動公園陸上競技場兼球技場,7275.4,35.339000000000006,20588.0
2012,京都サンガF.C.,鹿児島県立鴨池陸上競技場 ,7224.0,36.24,19934.0
2012,名古屋グランパス,名古屋市瑞穂陸上競技場,12806.5,64.0325,20000.0
2012,名古屋グランパス,豊田スタジアム,21020.0,52.55,40000.0
2012,大分トリニータ,大分銀行ドーム,9720.666666666666,24.302857142857142,40000.0
2012,大宮アルディージャ,熊谷スポーツ文化公園陸上競技場,10012.0,65.01,15400.0
2012,大宮アルディージャ,ＮＡＣＫ５スタジアム大宮,10676.1875,68.436875,15600.0
2012,川崎フロンターレ,等々力陸上競技場,17807.0,67.12058823529411,26530.0
2012,徳島ヴォルティス,鳴門・大塚スポーツパーク　ポカリスエットスタジアム,3990.8571428571427,20.322857142857142,19637.0
2012,愛媛ＦＣ,ニンジニアスタジアム,3628.6190476190477,23.296666666666663,15576.0
2012,東京ヴェルディ,味の素スタジアム,5785.6875,11.576875000000001,49970.0
2012,東京ヴェルディ,味の素フィールド西が丘,2981.5,41.08,7258.0
2012,東京ヴェルディ,国立競技場,3187.0,5.88,54224.0
2012,東京ヴェルディ,駒沢オリンピック公園総合運動場陸上競技場,5218.5,26.080000000000002,20010.0
2012,松本山雅ＦＣ,松本平広域公園総合球技場,9530.619047619048,46.72857142857143,20396.0
2012,柏レイソル,国立競技場,25782.5,47.545,54224.0
2012,柏レイソル,日立柏サッカー場,12166.6,79.26666666666667,15349.0
2012,栃木ＳＣ,栃木県グリーンスタジアム,3850.4285714285716,24.699047619047615,15589.0
2012,横浜Ｆ・マリノス,ニッパツ三ツ沢球技場,9614.666666666666,62.21666666666667,15454.0
2012,横浜Ｆ・マリノス,日産スタジアム,25802.428571428572,35.674285714285716,72327.0
2012,横浜ＦＣ,ニッパツ三ツ沢球技場,6081.85,39.354499999999994,15454.0
2012,横浜ＦＣ,福島県営あづま陸上競技場,5173.0,24.63,21000.0
2012,水戸ホーリーホック,ケーズデンキスタジアム水戸,3972.904761904762,33.10809523809524,12000.0
2012,浦和レッズ,埼玉スタジアム２００２,36633.64705882353,57.509411764705874,63700.0
2012,清水エスパルス,エコパスタジアム,23188.0,45.57,50889.0
2012,清水エスパルス,ＩＡＩスタジアム日本平,14616.625,72.070625,20281.0
2012,湘南ベルマーレ,Ｓｈｏｎａｎ　ＢＭＷスタジアム平塚,6851.761904761905,45.37523809523809,15100.0
2012,鹿島アントラーズ,県立カシマサッカースタジアム,15381.411764705883,37.76705882352941,40728.0
2012,ＦＣ岐阜,岐阜メモリアルセンター長良川球技メドウ,2509.5,70.4925,3560.0
2012,ＦＣ岐阜,岐阜メモリアルセンター長良川競技場,4684.588235294118,23.422352941176474,20000.0
2012,ＦＣ東京,味の素スタジアム,23839.375,47.70937499999999,49970.0
2012,ＦＣ東京,国立競技場,25813.0,47.6,54224.0
2012,ＦＣ町田ゼルビア,町田市立陸上競技場,3594.15,34.79899999999999,10328.0
2012,ＦＣ町田ゼルビア,駒沢オリンピック公園総合運動場陸上競技場,4286.0,21.42,20010.0
2013,アビスパ福岡,レベルファイブスタジアム,5727.142857142857,25.383333333333336,22563.0
2013,アルビレックス新潟,デンカビッグスワンスタジアム,26112.117647058825,61.73058823529411,42300.0
2013,カターレ富山,富山県総合運動公園陸上競技場,4474.285714285715,17.71952380952381,25250.0
2013,ガイナーレ鳥取,とりぎんバードスタジアム,4096.809523809524,25.552380952380954,16033.0
2013,ガンバ大阪,万博記念競技場,12285.52380952381,58.50238095238095,21000.0
2013,ギラヴァンツ北九州,北九州市立本城陸上競技場,3174.5238095238096,31.116666666666667,10202.0
2013,コンサドーレ札幌,札幌ドーム,13802.0,35.182,39232.0
2013,コンサドーレ札幌,札幌厚別公園競技場,6686.181818181818,34.07909090909091,19620.0
2013,サガン鳥栖,ベストアメニティスタジアム,12025.764705882353,49.10588235294119,24490.0
2013,サンフレッチェ広島,エディオンスタジアム広島,16209.176470588236,32.41823529411765,50000.0
2013,ザスパクサツ群馬,正田醤油スタジアム群馬,3570.9523809523807,23.594285714285714,15135.0
2013,ジェフユナイテッド千葉,フクダ電子アリーナ,10003.714285714286,54.074285714285715,18500.0
2013,ジュビロ磐田,エコパスタジアム,20049.0,39.4,50889.0
2013,ジュビロ磐田,ヤマハスタジアム（磐田）,10322.375,68.06625000000001,15165.0
2013,セレッソ大阪,キンチョウスタジアム,14619.777777777777,74.48444444444445,19628.0
2013,セレッソ大阪,ヤンマースタジアム長居,23543.75,49.23875,47816.0
2013,ファジアーノ岡山,シティライトスタジアム,8574.095238095239,42.870000000000005,20000.0
2013,ベガルタ仙台,ユアテックスタジアム仙台,14721.375,74.751875,19694.0
2013,ベガルタ仙台,宮城スタジアム,17183.0,34.97,49133.0
2013,モンテディオ山形,ＮＤソフトスタジアム山形,7019.809523809524,32.96904761904762,21292.0
2013,ロアッソ熊本,うまかな・よかなスタジアム,6369.4,19.904000000000003,32000.0
2013,ロアッソ熊本,熊本市水前寺競技場,3381.0,22.54,15000.0
2013,ヴァンフォーレ甲府,国立競技場,28906.0,53.31,54224.0
2013,ヴァンフォーレ甲府,山梨中銀スタジアム,11595.9375,68.21187499999999,17000.0
2013,ヴィッセル神戸,ノエビアスタジアム神戸,11512.0,38.20578947368421,30132.0
2013,ヴィッセル神戸,神戸総合運動公園ユニバー記念競技場,11556.5,25.68,45000.0
2013,京都サンガF.C.,京都市西京極総合運動公園陸上競技場兼球技場,8006.15,38.88600000000001,20588.0
2013,京都サンガF.C.,鹿児島県立鴨池陸上競技場 ,5594.0,28.06,19934.0
2013,名古屋グランパス,名古屋市瑞穂陸上競技場,12375.142857142857,61.874285714285705,20000.0
2013,名古屋グランパス,豊田スタジアム,18767.1,46.919,40000.0
2013,大分トリニータ,大分銀行ドーム,11915.117647058823,29.78882352941177,40000.0
2013,大宮アルディージャ,熊谷スポーツ文化公園陸上競技場,9469.0,61.49,15400.0
2013,大宮アルディージャ,ＮＡＣＫ５スタジアム大宮,11242.0625,72.065,15600.0
2013,川崎フロンターレ,国立競技場,21657.0,39.94,54224.0
2013,川崎フロンターレ,等々力陸上競技場,16330.9375,61.55749999999999,26530.0
2013,徳島ヴォルティス,鳴門・大塚スポーツパーク　ポカリスエットスタジアム,4347.761904761905,22.141428571428573,19637.0
2013,愛媛ＦＣ,ニンジニアスタジアム,3950.095238095238,25.36047619047619,15576.0
2013,東京ヴェルディ,味の素スタジアム,5931.411764705882,11.871176470588235,49970.0
2013,東京ヴェルディ,国立競技場,8233.0,15.185,54224.0
2013,東京ヴェルディ,駒沢オリンピック公園総合運動場陸上競技場,7950.5,39.735,20010.0
2013,松本山雅ＦＣ,松本平広域公園総合球技場,11041.238095238095,54.134285714285724,20396.0
2013,柏レイソル,国立競技場,29962.5,55.255,54224.0
2013,柏レイソル,日立柏サッカー場,10232.066666666668,66.66266666666667,15349.0
2013,栃木ＳＣ,栃木県グリーンスタジアム,4921.9047619047615,31.573333333333338,15589.0
2013,横浜Ｆ・マリノス,ニッパツ三ツ沢球技場,13126.666666666666,84.93666666666667,15454.0
2013,横浜Ｆ・マリノス,日産スタジアム,30574.64285714286,42.27214285714285,72327.0
2013,横浜ＦＣ,ニッパツ三ツ沢球技場,6131.85,39.6785,15454.0
2013,横浜ＦＣ,味の素フィールド西が丘,4717.0,64.99,7258.0
2013,水戸ホーリーホック,ケーズデンキスタジアム水戸,4630.333333333333,38.58571428571429,12000.0
2013,浦和レッズ,埼玉スタジアム２００２,37100.05882352941,58.24117647058823,63700.0
2013,清水エスパルス,エコパスタジアム,21420.0,42.09,50889.0
2013,清水エスパルス,ＩＡＩスタジアム日本平,13681.5,67.45875,20281.0
2013,湘南ベルマーレ,Ｓｈｏｎａｎ　ＢＭＷスタジアム平塚,9910.64705882353,65.63235294117646,15100.0
2013,鹿島アントラーズ,県立カシマサッカースタジアム,16418.529411764706,40.31294117647059,40728.0
2013,ＦＣ岐阜,大垣市浅中公園総合グラウンド陸上競技場,3369.0,78.35,4300.0
2013,ＦＣ岐阜,岐阜メモリアルセンター長良川競技場,4583.15,22.915999999999993,20000.0
2013,ＦＣ東京,味の素スタジアム,24367.928571428572,48.76357142857143,49970.0
2013,ＦＣ東京,国立競技場,28365.0,52.31333333333333,54224.0
2013,Ｖ・ファーレン長崎,長崎市総合運動公園かきどまり陸上競技場,3940.0,24.62,16000.0
2013,Ｖ・ファーレン長崎,長崎県立総合運動公園陸上競技場,6278.85,31.0135,20246.0
2014,アビスパ福岡,レベルファイブスタジアム,5247.5,23.25583333333333,22563.0
2014,アルビレックス新潟,デンカビッグスワンスタジアム,23411.5,55.345,42300.0
2014,アルビレックス新潟,県立カシマサッカースタジアム,23411.5,57.48256727558436,40728.0
2014,カターレ富山,富山県総合運動公園陸上競技場,4546.416666666667,18.00583333333333,25250.0
2014,カマタマーレ讃岐,香川県立丸亀競技場,3361.909090909091,15.05,22338.0
2014,ガンバ大阪,万博記念競技場,13683.375,65.16,21000.0
2014,ギラヴァンツ北九州,北九州市立本城陸上競技場,3287.333333333333,32.22166666666667,10202.0
2014,コンサドーレ札幌,札幌ドーム,11400.3,29.059,39232.0
2014,コンサドーレ札幌,札幌厚別公園競技場,7662.666666666667,39.05333333333333,19620.0
2014,サガン鳥栖,ベストアメニティスタジアム,14264.0,58.24375000000001,24490.0
2014,サンフレッチェ広島,エディオンスタジアム広島,14716.22222222222,29.43222222222222,50000.0
2014,ザスパクサツ群馬,正田醤油スタジアム群馬,3315.454545454545,21.90545454545454,15135.0
2014,ザスパクサツ群馬,熊谷スポーツ文化公園陸上競技場,3315.454545454545,21.52892561983471,15400.0
2014,ジェフユナイテッド千葉,フクダ電子アリーナ,9102.666666666666,49.20249999999999,18500.0
2014,ジュビロ磐田,ヤマハスタジアム（磐田）,8825.307692307691,58.19461538461538,15165.0
2014,セレッソ大阪,キンチョウスタジアム,15003.75,76.44,19628.0
2014,セレッソ大阪,ヤンマースタジアム長居,29936.0,62.60599999999999,47816.0
2014,ファジアーノ岡山,シティライトスタジアム,8269.583333333334,41.34833333333333,20000.0
2014,ベガルタ仙台,ユアテックスタジアム仙台,13742.375,69.77875,19694.0
2014,モンテディオ山形,ＮＤソフトスタジアム山形,6095.75,28.62916666666667,21292.0
2014,ロアッソ熊本,うまかな・よかなスタジアム,7553.2,23.603,32000.0
2014,ロアッソ熊本,熊本市水前寺競技場,3924.0,26.16,15000.0
2014,ヴァンフォーレ甲府,国立競技場,25157.0,46.395,54224.0
2014,ヴァンフォーレ甲府,山梨中銀スタジアム,10074.0,59.25714285714285,17000.0
2014,ヴィッセル神戸,ノエビアスタジアム神戸,15846.77777777778,52.59222222222223,30132.0
2014,ヴィッセル神戸,神戸総合運動公園ユニバー記念競技場,15846.77777777778,35.215061728395064,45000.0
2014,京都サンガF.C.,京都市西京極総合運動公園陸上競技場兼球技場,7792.3,37.849,20588.0
2014,京都サンガF.C.,鹿児島県立鴨池陸上競技場 ,5417.0,27.17,19934.0
2014,名古屋グランパス,名古屋市瑞穂陸上競技場,12021.0,60.10333333333333,20000.0
2014,名古屋グランパス,豊田スタジアム,23126.33333333333,57.81666666666666,40000.0
2014,大分トリニータ,大分銀行ドーム,7473.25,18.68333333333333,40000.0
2014,大宮アルディージャ,熊谷スポーツ文化公園陸上競技場,10380.625,67.40665584415585,15400.0
2014,大宮アルディージャ,ＮＡＣＫ５スタジアム大宮,10380.625,66.5425,15600.0
2014,川崎フロンターレ,等々力陸上競技場,16235.22222222222,61.19555555555556,26530.0
2014,徳島ヴォルティス,鳴門・大塚スポーツパーク　ポカリスエットスタジアム,8621.5,43.90375,19637.0
2014,愛媛ＦＣ,ニンジニアスタジアム,4034.0,25.9,15576.0
2014,東京ヴェルディ,味の素スタジアム,5474.25,10.95375,49970.0
2014,東京ヴェルディ,味の素フィールド西が丘,3333.0,45.92,7258.0
2014,東京ヴェルディ,国立競技場,8794.0,16.215,54224.0
2014,東京ヴェルディ,駒沢オリンピック公園総合運動場陸上競技場,3406.0,17.02,20010.0
2014,松本山雅ＦＣ,松本平広域公園総合球技場,12046.58333333333,59.06333333333333,20396.0
2014,柏レイソル,日立柏サッカー場,11847.22222222222,77.18666666666667,15349.0
2014,栃木ＳＣ,栃木県グリーンスタジアム,5254.4,33.707,15589.0
2014,横浜Ｆ・マリノス,ニッパツ三ツ沢球技場,12266.5,79.375,15454.0
2014,横浜Ｆ・マリノス,日産スタジアム,25220.83333333333,34.87166666666667,72327.0
2014,横浜ＦＣ,ニッパツ三ツ沢球技場,4910.916666666667,31.77666666666667,15454.0
2014,横浜ＦＣ,味の素フィールド西が丘,4910.916666666667,67.66211995958483,7258.0
2014,水戸ホーリーホック,ケーズデンキスタジアム水戸,4624.75,38.54000000000001,12000.0
2014,浦和レッズ,埼玉スタジアム２００２,34552.44444444445,54.24222222222222,63700.0
2014,清水エスパルス,エコパスタジアム,13913.375,27.34063353573464,50889.0
2014,清水エスパルス,ＩＡＩスタジアム日本平,13913.375,68.6025,20281.0
2014,湘南ベルマーレ,Ｓｈｏｎａｎ　ＢＭＷスタジアム平塚,7925.916666666667,52.48916666666666,15100.0
2014,鹿島アントラーズ,県立カシマサッカースタジアム,15452.5,37.94,40728.0
2014,ＦＣ岐阜,岐阜メモリアルセンター長良川競技場,7943.615384615385,39.71769230769231,20000.0
2014,ＦＣ東京,味の素スタジアム,24197.625,48.42375,49970.0
2014,ＦＣ東京,国立競技場,25851.0,47.67,54224.0
2014,Ｖ・ファーレン長崎,長崎市総合運動公園かきどまり陸上競技場,4186.916666666667,26.168229166666666,16000.0
2014,Ｖ・ファーレン長崎,長崎県立総合運動公園陸上競技場,4186.916666666667,20.68,20246.0
