name,address,capa,lat,lng,station,age,child,population,area
名古屋市瑞穂陸上競技場,愛知県名古屋市瑞穂区山下通5-1,20000,35.122624,136.943474,1.0,43.21,0.19,7443.0,5116.0
豊田スタジアム,愛知県豊田市千石町7-2,40000,35.084572,137.1700161,0.0,43.21,0.19,7443.0,5116.0
フクダ電子アリーナ,千葉県千葉市中央区川崎町1-20,18500,35.5768105,140.1229068,1.0,44.86,0.17,6192.0,5082.0
日立柏サッカー場,千葉県柏市日立台1-2-50,15349,35.8487916,139.9756698,0.0,44.86,0.17,6192.0,5082.0
ニンジニアスタジアム,愛媛県松山市上野町乙46,15576,33.7685355,132.7949466,0.0,47.32,0.17,1405.0,5679.0
レベルファイブスタジアム,福岡県福岡市博多区東平尾公園2-1-1,22563,33.5861389,130.4600893,0.0,44.57,0.18,5090.0,4847.0
北九州市立本城陸上競技場,福岡県北九州市八幡西区御開4-16-1,10202,33.8902979,130.7309062,0.0,44.57,0.18,5090.0,4847.0
岐阜メモリアルセンター長良川競技場,岐阜県岐阜市長良福光大野2675-28,20000,35.4429119,136.763069,0.0,45.56,0.19,2051.0,9768.0
正田醤油スタジアム群馬,群馬県前橋市敷島町66,15135,36.4127303,139.0522199,0.0,45.62,0.18,1984.0,6362.0
エディオンスタジアム広島,広島県広島市安佐南区大塚西5-1-1,50000,34.4410767,132.3941448,1.0,45.46,0.18,2840.0,8480.0
札幌ドーム,北海道札幌市豊平区羊ヶ丘1,39232,43.0095988,141.4195619,0.0,46.92,0.16,5431.0,83457.0
札幌厚別公園競技場,北海道札幌市厚別区上野幌3条1-2-1,19620,43.01869749999999,141.4632302,1.0,46.92,0.16,5431.0,83457.0
ノエビアスタジアム神戸,兵庫県神戸市兵庫区御崎町1-2-2,30132,34.6567255,135.1681706,1.0,45.13,0.18,5558.0,8396.0
県立カシマサッカースタジアム,茨城県鹿嶋市神向寺後山26-2,40728,35.991979,140.6404297,0.0,45.31,0.18,2931.0,6096.0
ケーズデンキスタジアム水戸,茨城県水戸市小吹町2058-1,12000,36.3454461,140.4114954,0.0,45.31,0.18,2931.0,6096.0
鹿児島県立鴨池陸上競技場 ,鹿児島県鹿児島市与次郎2-2-2,19934,31.5647132,130.5595158,1.0,46.84,0.19,1680.0,9045.0
等々力陸上競技場,神奈川県川崎市中原区等々力1-1,26530,35.5900902,139.6473358,1.0,43.8,0.18,9079.0,2416.0
日産スタジアム,神奈川県横浜市港北区小机町3300,72327,35.510047,139.6063366,1.0,43.8,0.18,9079.0,2416.0
ニッパツ三ツ沢球技場,神奈川県横浜市神奈川区三ツ沢西町3-1,15454,35.4697969,139.6066334,1.0,43.8,0.18,9079.0,2416.0
Ｓｈｏｎａｎ　ＢＭＷスタジアム平塚,神奈川県平塚市大原1-1,15100,35.34150959999999,139.3385989,0.0,43.8,0.18,9079.0,2416.0
うまかな・よかなスタジアム,熊本県熊本市東区平山町2776,32000,32.8373859,130.7994601,0.0,46.31,0.19,1801.0,7268.0
熊本市水前寺競技場,熊本県熊本市中央区水前寺5-23-3,15000,32.7944603,130.7406149,1.0,46.31,0.19,1801.0,7268.0
京都市西京極総合運動公園陸上競技場兼球技場,京都府京都市右京区西京極新明町29,20588,34.9933378,135.7155749,1.0,45.19,0.17,2617.0,4613.0
ユアテックスタジアム仙台,宮城県仙台市泉区七北田字柳78,19694,38.3191584,140.8818571,1.0,44.82,0.18,2328.0,6862.0
松本平広域公園総合球技場,長野県松本市神林5300,20396,36.1795818,137.9164849,0.0,46.7,0.18,2122.0,13105.0
デンカビッグスワンスタジアム,新潟県新潟市中央区清五郎67-12,42300,37.8824079,139.059359,0.0,47.23,0.17,2330.0,10364.0
大分銀行ドーム,大分県大分市大字横尾1351,40000,33.2007577,131.6564724,0.0,47.08,0.18,1178.0,5100.0
シティライトスタジアム,岡山県岡山市北区いずみ町2-1,20000,34.6774487,133.9193724,1.0,45.8,0.18,1930.0,7010.0
万博記念競技場,大阪府吹田市千里万博公園5-2,21000,34.8102495,135.5418537,0.0,44.63,0.18,8849.0,1901.0
キンチョウスタジアム,大阪府大阪市東住吉区長居公園1-1,19628,34.613354,135.5146258,1.0,44.63,0.18,8849.0,1901.0
ヤンマースタジアム長居,大阪府大阪市東住吉区長居公園1-1,47816,34.613354,135.5146258,1.0,44.63,0.18,8849.0,1901.0
ベストアメニティスタジアム,佐賀県鳥栖市京町812,24490,33.3725083,130.5204243,1.0,45.63,0.2,840.0,2440.0
佐賀県総合運動場陸上競技場,佐賀県佐賀市日の出2-1-10,17000,33.27466709999999,130.2918697,0.0,45.63,0.2,840.0,2440.0
埼玉スタジアム２００２,埼玉県さいたま市緑区中野田500,63700,35.9019995,139.7146773,0.0,44.09,0.18,7222.0,3768.0
ＮＡＣＫ５スタジアム大宮,埼玉県さいたま市大宮区高鼻町4,15600,35.9189126,139.6318202,1.0,44.09,0.18,7222.0,3768.0
ＩＡＩスタジアム日本平,静岡県静岡市清水区村松3880-1,20281,34.9851684,138.481305,0.0,45.74,0.18,3723.0,7255.0
エコパスタジアム,静岡県袋井市愛野2300-1,50889,34.7436764,137.9706643,1.0,45.74,0.18,3723.0,7255.0
ヤマハスタジアム（磐田）,静岡県磐田市新貝2500,15165,34.7228036,137.8783022,1.0,45.74,0.18,3723.0,7255.0
栃木県グリーンスタジアム,栃木県宇都宮市清原工業団地32,15589,36.5566492,139.9860099,0.0,45.23,0.18,1986.0,6408.0
鳴門・大塚スポーツパーク　ポカリスエットスタジアム,徳島県鳴門市撫養町立岩字四枚61,19637,34.1679118,134.6152539,0.0,47.57,0.17,770.0,4147.0
味の素スタジアム,東京都調布市西町376-3,49970,35.6642727,139.5271388,1.0,43.91,0.15,13300.0,2104.0
町田市立陸上競技場,東京都町田市野津田町2035,10328,35.5913944,139.4458051,0.0,43.91,0.15,13300.0,2104.0
国立競技場,東京都新宿区霞ヶ丘町10,54224,35.6785859,139.7147533,1.0,43.91,0.15,13300.0,2104.0
駒沢オリンピック公園総合運動場陸上競技場,東京都世田谷区駒沢公園1-1,20010,35.6248318,139.6608222,0.0,43.91,0.15,13300.0,2104.0
とりぎんバードスタジアム,鳥取県鳥取市蔵田423,16033,35.4582725,134.2211664,0.0,47.07,0.18,578.0,3507.0
富山県総合運動公園陸上競技場,富山県富山市南中田368,25250,36.62404799999999,137.1971706,0.0,47.09,0.17,1076.0,2046.0
ＮＤソフトスタジアム山形,山形県天童市山王1-1,21292,38.3361758,140.3755959,1.0,47.74,0.17,1141.0,6652.0
山梨中銀スタジアム,山梨県甲府市小瀬町840,17000,35.624201,138.5843276,0.0,46.21,0.18,847.0,4201.0
熊谷スポーツ文化公園陸上競技場,埼玉県熊谷市上川上300 熊谷スポーツ文化公園内,15400,36.1657944,139.4066368,0.0,44.09,0.18,7222.0,3768.0
神戸総合運動公園ユニバー記念競技場,兵庫県神戸市須磨区緑台,45000,34.6801203,135.0781675,1.0,45.13,0.18,5558.0,8396.0
宮城スタジアム,宮城県宮城郡利府町菅谷字舘40-1,49133,38.3375929,140.9531356,0.0,44.82,0.18,2328.0,6862.0
岐阜メモリアルセンター長良川球技メドウ,岐阜県岐阜市長良福光青襖2070-7,3560,35.4451611,136.7651917,0.0,45.56,0.19,2051.0,9768.0
味の素フィールド西が丘,東京都北区西が丘3-15-1,7258,35.7672961,139.7080788,1.0,43.91,0.15,13300.0,2104.0
福島県営あづま陸上競技場,福島県福島市佐原字神事場1,21000,37.7247635,140.3649537,0.0,46.8,0.18,1946.0,13783.0
岡山県津山陸上競技場,岡山県津山市志戸部245,10000,35.0823843,134.017423,0.0,45.8,0.18,1930.0,7010.0
長崎県立総合運動公園陸上競技場,長崎県諫早市宇都町27-1,20246,32.8386907,130.038555,0.0,47.03,0.18,1397.0,4106.0
長崎市総合運動公園かきどまり陸上競技場,長崎県長崎市柿泊町2210,16000,32.77532,129.8183971,0.0,47.03,0.18,1397.0,4106.0
大垣市浅中公園総合グラウンド陸上競技場,岐阜県大垣市浅中2-11-1,4300,35.316027,136.6048083,1.0,45.56,0.19,2051.0,9768.0
香川県立丸亀競技場,香川県丸亀市金倉町830,22338,34.2616843,133.7863605,0.0,46.78,0.18,985.0,1862.0
